True Label,Predicted Label,Attribution Label,Attribution Score,Convergence Score
high,high (0.9776865243911743),high,1.0436851792309827,0.0659988932583877
Word Importance
very,low,Digital,very,high,DigitalOOH,very,high,OOH,very,high,Print,high,Radio,very,low,SEM,very,low,SEM
-0.004581595039764344,0.04750131339809459,0.006973895957265548,0.012427078814734042,0.0002107524067793739,-0.0013510298557356769,0.016115478831537626,0.015950276540439075,0.010345230292228953,0.015671244294995654,0.01564909650089355,0.006022216123241387,0.015190674118652357,-0.009285770665800582,0.02263902734435228,-0.014229554719562816,0.02763879190002929,0.01546266039421774,0.0031534436914302053,0.027070938249432196
0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0
2,very,low,Social,low,TV,Top,online,self,-service,tips,.,New,Clients,Existing,Clients,Make,life,less,taxing
0.02957095927809119,-0.008582844827407381,0.002384115828525196,0.0018162470734779147,-0.007619512595683614,0.019687214959088328,-0.014935471667242777,-0.030694328515578143,0.007368558377292318,-0.025097715323155544,0.008653129204915783,0.025874501275554053,-0.006274482333870765,0.007888556235837695,0.010345098598643866,0.014685540135639972,0.019512956953773204,-0.0012494408828888862,0.025278371543863823,0.03810560548943978
1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,-2.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Why,Scotia,iTRADE,?,Some,great,reasons,to,join,Scotia,iTRADE,today,.,a,woman,sitting,on,a,table,with
-0.002125876691633173,-0.011939992765699152,0.00038142531224535144,0.0021538692843653708,0.01013306536001534,-0.004182278410707726,-0.11554384188871594,-0.0013667232484584394,0.000655999365825239,-0.006446516889279712,0.00016887792676603675,0.037350338760726576,0.016477417367815307,0.011203585938392857,-0.0094958738812088,-0.0009436876664245526,0.0046756763040897336,0.005387319100149309,-0.0003482595514067103,0.01910213301572896
0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
a,laptop,computer,Open,an,Account,How,would,you,like,to,apply,?,Let,us,call,you,Visit,Us,Scotia
-0.004786566025288253,0.00074004299752891,0.012078175086005524,-0.011567431638737993,-0.0056093598107101,-0.0009930599094502435,0.014379060468037667,-0.002671699617947771,-0.004499726448368206,-0.007041864161128751,0.004630057714250971,-0.001819619567871029,0.004968182795514923,-0.01146939049727769,-0.0006045650250848099,-0.0025396556459036873,-0.0067859025275750036,0.010082437996469506,-0.005397418906036308,-0.004528717517917752
0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
iTRADE,Investor,Centre,Non,-digital,Account,Opening,for,Selected,Account,Types,Get,self,-started,with,self,-directed,investing,.,Our
0.003987720582400292,0.0013051915752818099,-0.0009403000835755712,0.001965907961403629,-0.0014788174197617712,0.00020100449287211884,0.0034387191053121464,-0.005951053667973454,0.001364119487106324,0.0019039554925992595,0.006583126474770209,0.00703722985641319,0.002478290721367533,0.006303476092274372,-0.010055874126977043,0.0005805304432132323,0.0009885364090979586,0.005844820140926495,-0.004984443511551782,-0.006189717674176253
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
standard,commission,pricing,is,just,$9.99,for,equities,and,options,trades,*,.,How,to,add,funds,or,transfer,money
0.0005868329487479923,0.004339507390242504,0.002533881216555427,-0.0007823311997189454,0.009946440696604653,0.007842731579103722,0.0032064538209795037,0.005080446837538799,0.007639686935271105,0.0019525968051935076,0.01209313214926006,0.008937054360415675,-0.002377960521178347,0.004806965210348026,0.0018197362101535634,0.0034079157345935415,-0.0024506130527936964,-0.009091456880161481,-0.002637685134084471,0.007317802943854984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
to,Scotia,iTRADE®,?,Get,started,with,Scotia,iTRADE®,How,to,open,a,scotia,iTRADE®,account,?,To,open,an
-0.013677493074281653,0.0006084696296924257,0.003102396526209603,0.007020554539361073,0.005652681506876041,-0.002725253761246939,0.0004204987871126684,-0.0026379198170844113,-0.0009807536417580569,0.011924668219307358,0.0008653632453722647,-0.0005118176331049013,-0.009619148808266965,-0.02502378320862917,-0.005565797510550016,0.008617194456739875,0.01043996722616855,0.005725701625936153,0.0008035506679512501,0.005825321105004791
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
account,",",all,account,applicants,will,need,:,Helpful,tips,for,you,:,How,to,place,a,trade,on,Scotia
0.0014435703025472038,-0.0041848267722850345,-0.012626130418306339,-0.002747684645657484,0.0007565826097274677,-0.009131688890556834,-0.039691267255242045,0.04114992608808001,-0.0020594770490486,0.013446078366714595,0.0021647900912381028,-0.0034597615539260418,0.01805715413825862,-0.007697528727988416,-0.00020003223569354904,0.00402624006361157,0.017953826103361683,-0.0006250463695253359,0.0005616016186231248,-0.0026230806077471597
0.0,0.0,-1.0,0.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
iTRADE®,?,Here’s,5,easy,steps,to,guide,you,through,placing,a,trade,.,Insert,heading,text,with,an,optional
