#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Oct 3, 2021 - Oct 9, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Oct 3, 2021 - Oct 9, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,60790,44052,26533,146.9390053839615
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,35554,31087,16896,96.68310958476428
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,4109,3208,2678,93.65001935733643
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2205,1825,1165,290.51565622918054
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1913,1797,1675,74.8491879350348
SB:en:itrade:Competitive pricing | Scotia iTRADE,1417,1259,1013,265.0625
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1116,1055,1000,151.54807692307693
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,883,833,779,178.75675675675674
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,855,787,646,284.7557251908397
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,816,717,328,50.006493506493506
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,792,653,605,112.4407894736842


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),60408,45338,26634
https://www.scotiaitrade.com/en/home.html,28612,26093,12397
https://www.scotiaitrade.com/en/home.html?cid=vd_bns_SlTgwPXYbXB1ZgFflcm7e6dmFjFzFkAHJPvgK72n&dclid=,6135,5498,4200
https://www.scotiaitrade.com/en/home/open-trading-account.html,4087,3235,2672
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2203,2263,1298
https://www.scotiaitrade.com/en/home/pricing-fees.html,1406,1353,1033
https://www.scotiaitrade.com/en/home/contact-us.html,847,798,646
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,808,765,330
https://www.scotiaitrade.com/en/home/where-to-start.html,788,653,603
https://www.scotiaitrade.com/en/home/learning-centre.html,681,634,536
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,757,610,537


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),38429,27000,12990
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,23698,20105,8411
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1512,1197,1109
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1223,1090,1021
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1024,898,714
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,806,644,249
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,721,616,577
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,837,555,321
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,343,301,280
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,344,298,279
Internal Search,424,275,247


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,45338
Other,27699
Mobile Phone,15981
Tablet,1653
Media Player,2
Gaming Console,1
Television,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,44706,0.3052834071489285
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28735,0.23288672350791717
phoenix:Login,1867,0
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1615,0.8191950464396285
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1406,0.28662873399715505
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",990,0.9313131313131313
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,809,0.21878862793572312
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,761,0.9211563731931669
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,660,0.08333333333333333
SB:en:itrade:Competitive pricing | Scotia iTRADE,532,0.5338345864661654
BNS Home page en,505,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,45338,45338,0.3126957519078918
Natural Search,16395,17128,0.19005794449527294
Direct,9614,9455,0.2543166215935095
Referring Domains,9354,12953,0.16474235621124653
