#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Aug 28, 2022 - Sep 3, 2022"
#=================================================================


##############################################
# iTrade
##############################################
email,36,35,0.1388888888888889
Social Networks,17,17,0.6470588235294118
Paid Social Networks,9,9,0.6666666666666666


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,14392
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,252
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,71
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,50
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,37
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,31
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,13720
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+54 more,231

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,14392
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,163
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,47
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,16
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Webinar calendar for investment & stock trading | Scotia iTRADE®,13
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Privacy and security | Scotia iTRADE®,11
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,13972
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+59 more,170


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Aug 28, 2022 - Sep 3, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,1727,1084,889,191.1544715447154
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,419,357,262,79.53992395437263
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,84,61,54,209.11363636363637
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,80,76,66,366.14285714285717
SB:fr:itrade:Conditions d’utilisation de l’appli mobile,78,58,55,60.7
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE,51,22,21,153.76923076923077
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,40,33,27,239.25
SB:fr:itrade:Investissez avec Scotia iTRADE,40,20,19,110.58333333333333
SB:fr:itrade:Types de comptes de placement enregistrés | Scotia iTRADE,33,11,10,183.4
SB:fr:itrade:Comment les actions sont-elles imposées au Canada? | Publication,32,32,32,108.5
SB:fr:itrade:À propos de Scotia iTRADE | Scotia iTRADE,31,10,9,149.42857142857142


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),1725,1118,900
https://www.scotiaitrade.com/fr/accueil.html,416,365,262
(Low Traffic),274,146,108
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,80,76,66
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/liste-de-formulaires.html,84,65,56
https://www.scotiaitrade.com/fr/accueil/campagnes/conditions-dutilisation-de-lappli-mobile-scotia-it,78,58,55
https://www.scotiaitrade.com/fr/accueil/contactez-nous.html,40,34,27
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.comment-les-action,32,32,32
https://www.scotiaitrade.com/fr/accueil/frais-et-tarification.html,29,31,29
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.les-actions-sont-e,30,30,30
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,30,30,24


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),543,393,297
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,334,284,210
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,19,16,6
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:start-applicatio,7,7,7
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page top CTA:Dem,6,6,1
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page middle CTA:,5,5,5
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:page top CT,5,5,5
SB:fr:itrade:Investir dans les obligations pour tirer un revenu fixe de vos placements ou pour diver,6,4,4
Internal Search,6,4,4
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:page top CTA:Ouvrez un,4,4,4
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:nav-btn:Pla,4,4,4
SB:fr:itrade:Ouvrez un compte de négociation d’options en ligne | Scotia iTRADE:nav-btn:Placement,4,3,3
SB:fr:itrade:Investir dans les CPG – Un placement sécuritaire – Ouvrez un compte | Scotia iTRAD,4,3,3
SB:fr:itrade:Négociation de FNB sans commission au Canada | Scotia iTRADE:nav-btn:Placements,4,3,2
SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE:page middle CTA:Ouv,3,3,3
SB:fr:itrade:Investissez avec Scotia iTRADE:page top CTA:Renseignez-vous sur l'ouverture de compte,3,3,3
SB:fr:itrade:Types de comptes de placement et de négociation | Scotia iTRADE:nav-btn:Comptes,3,3,3
SB:fr:itrade:Investir dans les fonds communs et bâtir votre portefeuille | Scotia iTRADE:nav-btn:Pl,5,2,2
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:nav-btn:Comptes,5,2,2
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE:page top CTA:Demarrez,4,2,2
SB:fr:itrade:Investissez avec Scotia iTRADE:nav-btn:Àpropos,4,2,2
