#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jun 27, 2021 - Jul 3, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jun 27, 2021 - Jul 3, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,61076,40828,22566,138.8106278483253
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,35370,27351,13152,75.29451722464823
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,3642,2888,2281,145.49072929542646
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1509,1357,702,59.16465422612514
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,1429,1242,812,275.1398527865405
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1190,1039,745,73.62040816326531
"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",1178,1015,906,161.2107765451664
SB:en:itrade:Scotia iTrade Student Bootcamp,1031,891,773,115.83689839572193
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,950,880,860,238.1919191919192
SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,752,615,553,102.22371364653245
SB:en:itrade:Open a Practice Trading Account Online | Scotia iTRADE®,731,582,524,121.27272727272727


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),62162,42916,26053
https://www.scotiaitrade.com/en/direct-investing-and-online-trading.html,27391,20116,9726
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/student-bootcamp.html,4133,3749,3211
(Low Traffic),3857,3395,2565
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/open-an-account.html,2938,2381,2026
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/powerful-platforms/scotia-itrade,1952,1710,992
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/forms-library.html,1092,1384,927
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/faqs/market-holiday-schedule.htm,1255,1201,1097
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/student-bootcamp.html?,1178,1050,898
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/trading-fees/commissions-and-fee,1078,969,853
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/education-resource-lib,908,856,844


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),370,263,251
Internal Search,337,233,221
SB:en:itrade:404 | Scotia iTRADE®:link:scotiaiTrade-homepage,16,16,16
SB:en:itrade:404 | Scotia iTRADE®:link:Investment types,5,5,5
SB:en:itrade:404 | Scotia iTRADE®:link:ScotiaiTrade-help-centre,5,5,5
SB:en:itrade:404 | Scotia iTRADE®:link:Open an account,3,3,3
SB:en:itrade:404 | Scotia iTRADE®:link:Sign in,2,2,2
SB:en:itrade:404 | Scotia iTRADE®:link:Why Scotia iTRADE,1,1,1
SB:en:itrade:404 | Scotia iTRADE®:link:FAQs,1,1,1


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,42916
Other,26077
Mobile Phone,15064
Tablet,1770
Media Player,2
Set-top Box,2
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,42645,0.471473795286669
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,22281,0.4164534805439612
SB:en:itrade:Scotia iTRADE Student Bootcamp,4851,0.6021438878581735
phoenix:Login,1439,0
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,1392,0.5510057471264368
SB:en:itrade:Market Holiday Schedule 2021 | Scotia iTRADE®,1137,0.9437115215479331
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1063,0.35183443085606775
SB:en:itrade:iTrade How-to Videos,961,0.9323621227887617
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,797,0.9347553324968633
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,746,0.3378016085790885
SB:en:itrade:2021 Holiday Schedule for Investor Information Centre | Scotia iTRADE®,584,0.815068493150685


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,42916,42916,0.472714139248765
Natural Search,14345,15164,0.45730219588706866
Referring Domains,12111,15030,0.22954339030633308
Direct,11163,11045,0.6526023470393263
Paid Social Networks,1919,1919,0.945284002084419
email,1072,1083,0.5951492537313433
Paid Search,899,925,0.3692992213570634
Session Refresh,677,653,0.4446085672082718
Other Campaigns,349,346,0.8080229226361032
Display,276,272,0.7717391304347826
Social Networks,105,108,0.780952380952381


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,19627
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,695
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,326
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,313
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",170
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact Us - Customer Support | Scotia iTRADE®,141
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,19718
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+88 more,1044

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,19627
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,260
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,137
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,102
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,70
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,67
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,21130
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+91 more,641


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Jun 27, 2021 - Jul 3, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2958,1810,1277,254.9332321699545
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,750,660,301,71.77694235588973
SB:fr:itrade:Bibliothèque de ressources éducatives – Outils pour investir en ligne | Scotia iTRA,328,307,288,230.83333333333334
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements| Scotia iTRADE,231,225,218,175.08333333333334
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,186,176,162,490.8333333333333
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,103,81,72,119.47826086956522
SB:fr:itrade:Calendrier des congés fériés 2021 – Centre d'information pour les investisseurs |,68,60,59,154.38888888888889
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,64,44,35,312.4
"SB:fr:itrade:Frais de négociation de titres, commissions et taux d’intérêt | Scotia iTRADE",46,38,32,178.68
Nous sommes là pour vous aider:Contactez-nous,39,31,27,217.15
SB:fr:itrade:Types de risque de placement – comment les gérer? | Scotia iTRADE,33,32,32,4


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),2495,1828,1380
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne.html,724,609,303
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/faq/jours-de-fermeture-de,304,292,262
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/formation/bibliothque-de-,284,269,259
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/french-campaigns/navigate,246,234,230
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/faq/horaire-des-jours-fer,100,97,92
(Low Traffic),110,79,71
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/ouvrir-un-compte/liste-de,60,61,47
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/ouvrir-un-compte.html,63,55,53
https://dispatcherauthor02-eus2.prod.pbb59s.333az.net/content/itrade/itrade/fr/accueil/centre-dappre,117,47,11
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/tarification-concurrentie,55,42,40


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),10,7,7
Internal Search,10,7,7


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,1828
Mobile Phone,884
Other,822
Tablet,122


##############################################
