#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jul 17, 2022 - Jul 23, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jul 17, 2022 - Jul 23, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,34012,28086,22202,92.21385779122542
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17431,15980,11449,51.93532870122929
SB:en:itrade:Scotia itrade mobile application terms and conditions,3025,2229,2149,55.159533073929964
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1493,1285,889,247.61761658031088
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1491,1417,1300,51.575824175824174
SB:en:itrade:Competitive pricing | Scotia iTRADE,920,819,734,176.36193029490616
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,758,733,670,275.42076502732243
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,503,454,441,84.07420494699646
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,493,435,428,130.3181818181818
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,429,393,228,42.30864197530864
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,427,408,388,96.09638554216868


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),33793,29490,22910
https://www.scotiaitrade.com/en/home.html,17153,16391,11420
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,3025,2229,2149
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1491,1571,954
https://www.scotiaitrade.com/en/home/open-trading-account.html,1461,1408,1282
https://www.scotiaitrade.com/en/home/pricing-fees.html,918,881,765
https://www.scotiaitrade.com/en/home/contact-us.html,756,746,671
https://www.scotiaitrade.com/en/home/where-to-start.html,502,457,444
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,492,441,432
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,419,413,231
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool?x-chann,22,410,410


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),20389,16399,11285
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,13436,11970,7831
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,558,500,381
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,435,371,200
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,385,335,333
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,354,327,237
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,223,207,205
Internal Search,277,170,160
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,182,151,85
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,150,150,148
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,175,147,139


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,29492
Other,18820
Mobile Phone,9826
Tablet,844
Gaming Console,1
Media Player,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,28471,0.3317059464016016
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,15163,0.19019982852997427
SB:en:itrade:Scotia itrade mobile application terms and conditions,2229,0.6541049798115747
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1196,0.34364548494983277
phoenix:Login,1088,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,814,0.28624078624078625
SB:en:itrade:Competitive pricing | Scotia iTRADE,580,0.5758620689655173
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,566,0.8286219081272085
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,370,0.07297297297297298
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,362,0.7403314917127072
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,339,0.45722713864306785


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,29492,29492,0.3510782585107826
Direct,12737,12626,0.37245819266703306
Natural Search,8453,8903,0.3106589376552703
Referring Domains,6728,7420,0.3440844233055886
Session Refresh,1138,1116,0.48154657293497366
Paid Search,184,161,0.11413043478260869
Display,111,112,0.4954954954954955
Other Campaigns,56,50,0.14285714285714285
Paid Social Networks,40,41,0.675
email,29,28,0
Social Networks,16,15,0.625


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,14922
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,216
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,57
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,49
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,47
