#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Aug 1, 2021 - Aug 7, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Aug 1, 2021 - Aug 7, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,51697,36331,21746,134.1957526300265
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,26412,22558,11380,74.96933005122746
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,2138,1716,1415,130.53125
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1498,1306,1035,79.8984485190409
SB:en:itrade:Market Holiday Schedule 2021 | Scotia iTRADE®,1309,1245,1137,243.66315789473686
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,1290,1215,1185,197.26956521739132
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1206,846,728,94.44172661870503
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,859,761,533,255.7263157894737
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,775,703,420,47.646680942184155
"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",651,562,516,152.44837758112095
"SB:en:itrade:The Knowledge Navigator, Learn about Investing | Scotia iTRADE®",636,595,569,293.79487179487177


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),51649,36713,21847
https://www.scotiaitrade.com/en/direct-investing-and-online-trading.html,15154,13270,6940
https://www.scotiaitrade.com/en/home.html,7832,6547,4499
(Low Traffic),2584,1927,1552
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/open-an-account.html,1769,1424,1238
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/faqs/market-holiday-schedule.htm,1309,1245,1137
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/education-resource-lib,1289,1223,1189
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/forms-library.html,858,1110,739
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/powerful-platforms/scotia-itrade,1170,1016,678
https://www.scotiaitrade.com/en/home/open-trading-account.html,1136,845,726
https://www.scotiaitrade.com/en/home/learning-centre.html,756,672,613


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),9506,6433,4547
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,5209,4572,3075
Internal Search,382,234,223
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,232,205,153
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,244,202,192
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,214,165,158
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,182,155,153
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,187,142,103
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Education,173,117,104
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources:page top CTA:Sign in,136,114,92
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,100,98,98


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,36713
Other,23579
Mobile Phone,11447
Tablet,1683
Media Player,2
Gaming Console,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,36498,0.4220505233163461
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,20853,0.3387042631755623
phoenix:Login,1275,0
SB:en:itrade:Market Holiday Schedule 2021 | Scotia iTRADE®,1191,0.9378673383711167
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,1179,0.9245122985581001
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1074,0.5195530726256983
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,868,0.5207373271889401
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,631,0.358161648177496
SB:en:itrade:iTrade How-to Videos,560,0.9071428571428571
"SB:en:itrade:The Knowledge Navigator, Learn about Investing | Scotia iTRADE®",543,0.9226519337016574
SB:en:itrade:2021 Holiday Schedule for Investor Information Centre | Scotia iTRADE®,537,0.8361266294227188


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,36713,36713,0.4238825484160924
Natural Search,13142,13962,0.4178968193577842
Referring Domains,11282,14032,0.23320333274242155
Direct,9953,9812,0.6146890384808601
