#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Aug 15, 2021 - Aug 21, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Aug 15, 2021 - Aug 21, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,48059,33596,19607,124.7234612326876
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,24336,21081,10734,65.30815727036493
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3527,2716,2113,90.96078431372548
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2666,2478,2096,69.83066792097836
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1947,1618,1086,264.2093023255814
SB:en:itrade:Competitive pricing | Scotia iTRADE,1191,1042,894,261.16768916155416
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1089,1015,952,197.40441176470588
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",902,824,782,238.95505617977528
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,845,681,631,87.02793296089385
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,827,758,412,68.56468797564688
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,724,632,533,316.921875


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),47724,34761,19722
https://www.scotiaitrade.com/en/home.html,23956,21785,10724
https://www.scotiaitrade.com/en/home/open-trading-account.html,3512,2739,2114
https://www.scotiaitrade.com/en/home/learning-centre.html,2641,2503,2099
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1946,2080,1252
https://www.scotiaitrade.com/en/home/pricing-fees.html,1190,1087,897
https://www.scotiaitrade.com/en/home/learning-centre/how-to-videos.html,1085,1030,963
https://www.scotiaitrade.com/en/home/learning-centre/the-knowledge-navigator.html,900,823,781
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,815,800,414
https://www.scotiaitrade.com/en/home/where-to-start.html,844,685,632
https://www.scotiaitrade.com/en/home/contact-us.html,720,642,535


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),32810,23159,11179
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,19285,16550,7158
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1033,826,769
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,965,817,680
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,765,670,322
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,974,665,328
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources:page top CTA:Sign in,713,643,377
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,582,493,474
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,323,285,271
Internal Search,397,281,249
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,314,263,256


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,34761
Other,23366
Mobile Phone,9865
Tablet,1528
Media Player,1
Television,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,34203,0.2407683536531883
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19480,0.10965092402464066
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2222,0.6084608460846085
phoenix:Login,1618,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1368,0.23172514619883042
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,944,0.9110169491525424
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",777,0.924066924066924
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,724,0.212707182320442
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,669,0.061285500747384154
BNS Home page en,496,0
SB:en:itrade:Competitive pricing | Scotia iTRADE,449,0.5723830734966593


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,34761,34761,0.2501654152642329
Natural Search,12572,13233,0.18477569201399938
Referring Domains,10252,13153,0.1648458837300039
Direct,9991,9852,0.3712341106996297
Session Refresh,759,738,0.2964426877470356
Social Networks,723,727,0.9266943291839558
Paid Search,280,247,0.09285714285714286
Other Campaigns,110,107,0.16363636363636364
email,29,30,0.5862068965517241
Display,23,23,0.08695652173913043
Paid Social Networks,22,21,0.7272727272727273


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17600
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,656
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,411
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,384
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,170
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,148
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,15026
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+77 more,805

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17600
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,198
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,176
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,76
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,70
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,68
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,16473
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+75 more,539


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Aug 15, 2021 - Aug 21, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,3002,1633,1308,212.7316692667707
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,909,483,250,62.22077922077922
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,323,282,268,225.18421052631578
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements| Scotia iTRADE,317,296,290,102.55172413793103
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements | Scotia iTRADE,258,237,233,320.2352941176471
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,127,84,77,101.35820895522389
SB:fr:itrade:Glossaire des termes de placement et de négociation les plus courants | Scotia iTRADE,78,9,8,315.2857142857143
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,62,53,40,229.3181818181818
SB:fr:itrade:Investissez avec Scotia iTRADE,38,28,24,124.56
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,37,32,30,188.66666666666666
