#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 23, 2021 - May 29, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,22405
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,843
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,431
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,285
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitve pricing | Scotia iTRADE,162
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",147
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,19423
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+85 more,1114

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,22405
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,314
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,117
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,79
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,67
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",64
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,21017
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+92 more,747


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: May 23, 2021 - May 29, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2986,2040,1596,219.8015384615385
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,754,650,354,61.737864077669904
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,424,409,357,400.4
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements| Scotia iTRADE,321,311,306,90.61538461538461
SB:fr:itrade:Bibliothèque de ressources éducatives – Outils pour investir en ligne | Scotia iTRA,271,262,260,234.46666666666667
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,125,100,87,116.828125
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,76,58,52,335.29545454545456
"SB:fr:itrade:Frais de négociation de titres, commissions et taux d’intérêt | Scotia iTRADE",44,37,34,134.34615384615384
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE,41,27,25,282.73333333333335
Nous sommes là pour vous aider:Contactez-nous,36,32,28,367.1666666666667
SB:fr:itrade:Investissez avec Scotia iTRADE,35,25,20,184.55555555555554


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),2986,2049,1602
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne.html,750,648,353
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/faq/jours-de-fermeture-de,424,409,357
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/french-campaigns/navigate,321,311,306
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/formation/bibliothque-de-,274,265,263
(Low Traffic),284,100,78
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/ouvrir-un-compte.html,125,100,87
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/ouvrir-un-compte/liste-de,68,62,57
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/tarification-concurrentie,88,59,52
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/options-de-placement/comp,71,48,46
https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/faq/contactez-nous.html,43,38,33


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),13,10,10
Internal Search,13,10,10


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,2049
Mobile Phone,1056
Other,911
Tablet,82


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,2045,0.6464547677261614
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,467,0.3811563169164882
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,400,0.9575
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements| Scotia iTRADE,309,0.9611650485436893
SB:fr:itrade:Bibliothèque de ressources éducatives – Outils pour investir en ligne | Scotia iTRA,258,0.9534883720930233
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,99,0
phoenix:Login,66,0
