#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Oct 31, 2021 - Nov 6, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Oct 31, 2021 - Nov 6, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,67815,44741,25122,139.2083206986476
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,35769,30628,15046,70.55117072414328
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,5452,4313,3486,108.72425728295356
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2635,2222,1475,322.7350663716814
SB:en:itrade:Competitive pricing | Scotia iTRADE,1407,1259,1108,255.88790560471978
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1246,1149,1033,95.19201995012469
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1062,948,808,307.9491525423729
SB:en:itrade:Scotia iTRADE® FlightDesk® - customized market intelligence,1021,328,279,194.61016949152543
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,996,795,739,113.73913043478261
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,977,847,385,74.30747922437673
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,900,717,634,197.2799043062201


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),67309,46397,25261
https://www.scotiaitrade.com/en/home.html,34630,31190,14664
https://www.scotiaitrade.com/en/home/open-trading-account.html,5294,4271,3395
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2625,2795,1680
https://www.scotiaitrade.com/en/home/pricing-fees.html,1385,1322,1118
https://www.scotiaitrade.com/en/home/contact-us.html,1054,962,805
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,960,911,388
https://www.scotiaitrade.com/en/home/where-to-start.html,978,794,732
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,880,713,627
https://www.scotiaitrade.com/en/home/learning-centre.html,623,573,466
https://www.scotiaitrade.com/en/home/trading-account-types/registered/tax-free-savings-accounts-tfsa,629,555,465


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),46868,32220,15367
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,28220,23899,9796
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,2182,1687,1512
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1577,1398,1281
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1212,1040,856
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,935,785,746
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,949,781,309
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,1030,772,453
Internal Search,685,372,339
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,339,329,326
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,379,320,309


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,46398
Other,31733
Mobile Phone,12962
Tablet,1702
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,45644,0.211878888791517
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28333,0.10249532347439382
phoenix:Login,2351,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1905,0.31811023622047246
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1000,0.231
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,938,0.7505330490405118
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,770,0.06623376623376623
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",738,0.9227642276422764
BNS Home page en,686,0
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,684,0.9269005847953217
SB:en:itrade:Competitive pricing | Scotia iTRADE,520,0.5192307692307693


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,46398,46398,0.2215612741928532
Natural Search,20462,21403,0.19528882807154727
Direct,11533,11304,0.2135610855805081
Referring Domains,10320,14829,0.15135658914728684
Paid Social Networks,1619,1620,0.9258801729462631
Session Refresh,1091,1057,0.25572868927589365
