#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jun 6, 2021 - Jun 12, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jun 6, 2021 - Jun 12, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,64748,45020,24630,144.4333742525641
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,35238,30223,14644,72.4016424647849
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,4823,3797,3044,152.77398615232443
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1850,1623,884,59.87196261682243
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,1737,1484,948,267.88040712468194
"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",1397,1220,1069,155.66620111731842
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1260,1074,748,83.28672316384181
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,1085,997,976,208.22556390977442
SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,984,795,691,92.41261261261262
SB:en:itrade:iTrade How-to Videos,903,858,836,183.33333333333334
SB:en:itrade:Contact Us - Customer Support | Scotia iTRADE®,849,769,676,287.54125412541254


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),64748,45463,24785
https://www.scotiaitrade.com/en/direct-investing-and-online-trading.html,29665,25501,12181
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/open-an-account.html,4239,3295,2743
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/powerful-platforms/scotia-itrade,2740,2325,1427
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/forms-library.html,1729,2152,1312
(Low Traffic),2183,1926,1527
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/trading-fees/commissions-and-fee,1397,1253,1094
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/why-scotia-itrade/how-to-make-it,1898,1180,1006
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/investment-types/registered-acco,1323,1009,898
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/education-resource-lib,1077,999,977
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/why-scotia-itrade/special-offers,1358,858,755


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),570,392,356
Internal Search,524,348,313
SB:en:itrade:404 | Scotia iTRADE®:link:scotiaiTrade-homepage,16,16,16
SB:en:itrade:404 | Scotia iTRADE®:link:ScotiaiTrade-help-centre,9,8,8
SB:en:itrade:404 | Scotia iTRADE®:link:Open an account,6,6,6
SB:en:itrade:404 | Scotia iTRADE®:link:Why Scotia iTRADE,5,5,5
SB:en:itrade:404 | Scotia iTRADE®:link:Sign in,5,4,4
SB:en:itrade:404 | Scotia iTRADE®:link:Investment types,3,3,3
SB:en:itrade:404 | Scotia iTRADE®:link:Contact us,1,1,1
SB:en:itrade:404 | Scotia iTRADE®:link:FAQs,1,1,1


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,45463
Other,30909
Mobile Phone,12938
Tablet,1614
Media Player,1
Television,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,45162,0.4261104468358354
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,27845,0.41030705692224817
phoenix:Login,1923,0
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,1832,0.5616812227074236
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1411,0.35931963146704465
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,920,0.9032608695652173
SB:en:itrade:iTrade How-to Videos,843,0.9383155397390273
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,823,0.3718104495747266
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,718,0.26880222841225626
"SB:en:itrade:The Knowledge Navigator, Learn about Investing | Scotia iTRADE®",669,0.9103139013452914
BNS Home page en,631,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,45463,45463,0.4278424213096364
Natural Search,16170,17141,0.3968460111317254
Referring Domains,15211,18920,0.23108276904871475
Direct,9397,9256,0.6644673832074066
Paid Social Networks,2117,2117,0.9452054794520548
Paid Search,1053,1097,0.3789173789173789
Session Refresh,867,827,0.4186851211072664
Other Campaigns,329,326,0.7811550151975684
Display,261,257,0.842911877394636
email,32,28,0.625
