#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 22, 2022 - May 28, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 22, 2022 - May 28, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,37088,31797,25268,89.21696120356536
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19667,18240,13122,51.108567096285064
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,3602,3498,3470,48.340454858718125
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1863,1681,1492,44.29535495179667
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1419,1242,891,308.9814049586777
SB:en:itrade:Competitive pricing | Scotia iTRADE,837,782,705,207.07575757575756
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,544,449,358,122.69162995594714
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,492,469,430,244.78620689655173
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,457,432,269,29.635388739946382
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,447,411,401,54.32692307692308
SB:en:itrade:Scotia itrade mobile application terms and conditions,426,303,275,337.1830985915493


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),36879,33161,25825
https://www.scotiaitrade.com/en/home.html,19452,18892,13147
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,2963,2955,2955
https://www.scotiaitrade.com/en/home/open-trading-account.html,1831,1665,1469
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1413,1449,953
https://www.scotiaitrade.com/en/home/pricing-fees.html,837,857,753
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,571,523,492
https://www.scotiaitrade.com/en/home/contact-us.html,491,482,433
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,452,461,272
https://www.scotiaitrade.com/en/home/special-offers-programs.html,508,434,332
https://www.scotiaitrade.com/en/home/where-to-start.html,447,411,401


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),24220,19236,13450
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,16130,14180,9347
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,592,530,434
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,605,463,440
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,460,408,239
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,427,379,371
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,331,297,184
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,303,277,272
Internal Search,276,197,189
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,201,174,167
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,150,149,148


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,33161
Other,20462
Mobile Phone,11562
Tablet,1137


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,32328,0.3149591685226429
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17301,0.17103057626726778
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,3365,0.600297176820208
phoenix:Login,1313,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1282,0.36427457098283933
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,810,0.24320987654320989
SB:en:itrade:Competitive pricing | Scotia iTRADE,523,0.5506692160611855
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,406,0.07142857142857142
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,358,0.7318435754189944
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,357,0.5210084033613446
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,319,0.9655172413793104


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,33161,33161,0.3286993757727451
Direct,13891,13758,0.3603052336044921
Natural Search,10487,11076,0.27453037093544386
Referring Domains,6812,7680,0.3210510863182619
