#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Nov 7, 2021 - Nov 13, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Nov 7, 2021 - Nov 13, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,69299,47716,27496,142.6615733380439
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,37166,31629,15679,77.18038891187422
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,5663,4460,3676,111.17614113693644
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2521,2059,1389,338.7525222551929
SB:en:itrade:Competitive pricing | Scotia iTRADE,1435,1270,1069,252.24603174603175
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1259,1161,1056,91.59569892473118
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,1151,1085,1007,123.86923076923077
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1109,857,788,100.24111282843894
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1044,942,779,270.9627507163324
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,1037,914,842,226.025
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,980,743,651,203.57635467980296


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),68818,49370,27628
https://www.scotiaitrade.com/en/home.html,36523,32647,15607
https://www.scotiaitrade.com/en/home/open-trading-account.html,5531,4428,3579
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2513,2596,1576
https://www.scotiaitrade.com/en/home/pricing-fees.html,1429,1346,1090
https://www.scotiaitrade.com/en/home/learning-centre/faqs/market-holiday-schedule.html,1147,1084,1005
https://www.scotiaitrade.com/en/home/contact-us.html,1042,954,778
https://www.scotiaitrade.com/en/home/learning-centre/faqs/holiday-schedule.html,1037,914,842
https://www.scotiaitrade.com/en/home/where-to-start.html,1106,862,790
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,891,823,360
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,980,766,667


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),47273,32780,15715
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,29249,24557,10185
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,2190,1720,1562
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1738,1557,1450
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1134,973,804
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,1021,860,813
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,1010,757,448
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,862,713,282
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,337,321,318
Internal Search,534,306,289
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,336,301,296


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,49370
Other,33154
Mobile Phone,14361
Tablet,1849
Media Player,3
Set-top Box,2
Television,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,48647,0.2383291878224762
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,29338,0.10419933192446657
phoenix:Login,2333,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1924,0.3134095634095634
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,1007,0.9145978152929494
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,935,0.21283422459893048
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,898,0.7282850779510023
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",825,0.9296969696969697
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,791,0.8154235145385588
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,774,0.91343669250646
SB:en:itrade:How are stocks taxed in Canada? | Posts,725,0.9006896551724138


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,49370,49370,0.2469515900344339
Natural Search,22915,23952,0.24237399083569713
Direct,12264,12042,0.23140900195694716
Referring Domains,10300,14947,0.15980582524271844
Paid Social Networks,1684,1686,0.9305225653206651
Session Refresh,1037,1001,0.2420443587270974
Other Campaigns,354,353,0.3559322033898305
Paid Search,345,286,0.08115942028985507
Display,343,347,0.44314868804664725
email,83,81,0.18072289156626506
Social Networks,45,47,0.3333333333333333


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,26475
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,26475
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Nov 7, 2021 - Nov 13, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2327,1626,1254,162.0566298342542
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,685,597,330,55.354124748490946
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements | Scotia iTRADE,275,259,245,153.31578947368422
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,270,259,252,125.68571428571428
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,126,104,95,89.84705882352941
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,85,65,55,254.78181818181818
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,61,59,53,469
SB:fr:itrade:Ouvrez un compte non enregistré aujourd’hui | Scotia iTRADE,46,26,22,153.1904761904762
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,44,41,39,260
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,38,30,25,135.5
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,36,36,32,77


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),5242,2084,1634
https://www.scotiaitrade.com/fr/accueil.html,779,648,382
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/navigateur-de-connaissances.html?cid=f,283,256,246
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage.html?cid=fb_bns_BpeK7DptTMpicBOSxUFoQp,228,220,215
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/faq/calendrier-des-conges-sur-les-marc,193,182,167
(Low Traffic),1679,150,132
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,175,115,94
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,409,111,97
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/faq/calendrier-des-conges-feries.html,148,92,90
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/liste-de-formulaires.html,78,74,61
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.croissance-et-investisseme,187,57,55


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),1649,649,421
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,653,496,292
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:start-applicatio,77,48,43
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page middle CTA:,44,31,27
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,24,21,10
Internal Search,85,17,16
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:page top CTA:Ouvrez un,29,16,15
SB:fr:itrade:Guide détaillé sur les placements en capitaux propres | Publication:footer:footer-lin,16,16,16
SB:fr:itrade:Guide détaillé sur les placements en capitaux propres | Publication:nav-btn:Tarificat,14,11,11
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page top CTA:Dem,14,11,8
SB:fr:itrade:Guide détaillé sur les placements en capitaux propres | Publication:nav-btn:Placement,15,10,10
SB:fr:itrade:Guide détaillé sur les placements en capitaux propres | Publication:nav-btn:Formation,14,10,10
SB:fr:itrade:Guide détaillé sur les placements en capitaux propres | Publication:nav-btn:Comptes,13,10,10
SB:fr:itrade:Guide détaillé sur les placements en capitaux propres | Publication:footer:footer-you,9,9,9
SB:fr:itrade:Politique de Scotia iTRADE concernant la négociation sur les marchés multiples et l'e,41,7,7
SB:fr:itrade:Régimes enregistrés d'épargne-études (REEE) | Publication:nav-btn:Àpropos,16,7,7
SB:fr:itrade:Guide détaillé sur les placements en capitaux propres | Publication:nav-btn:Àpropos,11,7,7
SB:fr:itrade:Ouvrez un compte enregistré aujourd’hui | Scotia iTRADE:page top CTA:Lancer la deman,8,7,5
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication:nav-btn:Pla,14,6,6
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication:nav-btn:For,14,6,6
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:nav-btn:Comptes,6,6,6
SB:fr:itrade:Programme Ask the Expert de Scotia iTRADE – Profitez des conseils et des connaissance,32,5,5
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication:nav-btn:Àp,12,5,5
SB:fr:itrade:Régimes enregistrés d'épargne-études (REEE) | Publication:nav-btn:Placements,12,5,5
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication:nav-btn:Com,12,5,5
SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE:page middle CTA:Ouv,11,5,3


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,2084
Other,1072
Mobile Phone,872
Tablet,139
Media Player,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,2078,0.5365736284889316
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,479,0.12526096033402923
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,277,0.8953068592057761
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements | Scotia iTRADE,256,0.92578125
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,179,0.9162011173184358
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,118,0
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,102,0.9411764705882353
SB:fr:itrade:Calendrier des congés fériés 2021 – Centre d'information pour les investisseurs |,76,0.8026315789473685
phoenix:Login,53,0
SB:fr:itrade:Comprendre le risque de placement | Publication,32,0.9375
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,27,0.6296296296296297


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,2084,2084,0.5374280230326296
Natural Search,726,692,0.6418732782369146
Paid Social Networks,526,527,0.9163498098859315
Direct,396,372,0.255050505050505
Referring Domains,371,579,0.16711590296495957
Session Refresh,38,31,0.18421052631578946
Other Campaigns,17,16,0.058823529411764705
Display,5,4,0
email,2,2,0
Paid Search,2,2,0
Social Networks,1,1,1


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,496
