#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jun 27, 2021 - Jul 3, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html?gclid=Cj0K,18
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html?cid=S1eTAX1218-001&utm_so,18
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/nuestra-identidad.html,18
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,17
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,16
https://www.scotiawealthmanagement.com/ca/fr/accueil/centre-de-ressources-scotiamcleod.html,15
https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,14
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/contacte-su-oficina-local.html,13
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,13
https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements/scotiamcleod.html,12
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/nuestra-identidad.html,12
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/about-us.html,12
https://www.scotiawealthmanagement.com/ca/fr/accueil/communiquez-avec-nous/comment-pouvons-nous-vous,12
https://www.scotiawealthmanagement.com/intl/en/home/about-us.html,11
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/gestin-de-inversiones.html,10
https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements/service-de-gestion-privee,10
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html?gclsrc=aw.,9
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/estructuracin-patrimonial-y-fiduciar,9
https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements.html,9
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,9
https://www.scotiawealthmanagement.com/ca/fr/accueil/a-propos-de-nous.html,8


#=================================================================
# SWM Site Search
# Report suite: Scotiabank Prod
"# Date: Jun 27, 2021 - Jul 3, 2021"
# Segments: SWM
#=================================================================


##############################################
# Site Search
##############################################
,Internal Searches (e1),Avg Rank of Result Clicked (beta version)
Internal Search (c1),65,
ein,5,0
tax id,3,0
fees,2,2.5
tax,2,2
bickell,2,1
address,2,0
tfsa,2,0
telephone number?,2,0
alliston,2,0
frais d'administration et de services de scotia mcleod 2021,1,35
family trust,1,8
private banking,1,4
power of attorney,1,3
fee,1,2
beneficiary,1,2
conflict of interest,1,1
gic,1,1
gold,1,1
interest rates,1,1
private banking fee,1,1
private investment,1,1
rod lancer,1,0
brenda,1,0
jocelyn boisvert,1,0
cambiar contraseña,1,0
proposal,1,0
borden,1,0
open trust account,1,0
yastechgolf,1,0
golf,1,0
tax free,1,0
sarah plant,1,0
adress,1,0
debra sheppard,1,0
md managment,1,0
offie of the president,1,0
frais d'administration et de services de scotia mcleod,1,0
jim lipsett,1,0
cliff borden,1,0
zhang,1,0
mcglade,1,0
lenderman,1,0
daniel,1,0
tfsa beneficiary designation form,1,0
jeffrey funk,1,0
andrew innes,1,0
christy chrunik,1,0
winnipeg,1,0
financial advis,1,0
miami,1,0


