#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jun 20, 2021 - Jun 26, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
https://www.scotiawealthmanagement.com/intl/en/home/about-us.html,26
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,25
https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,24
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,23
https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,23
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html?gclsrc=aw.,22
https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,21
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,20
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/nuestra-identidad.html,20
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/about-us.html,19
https://www.scotiawealthmanagement.com/intl/en/home/wealth-structuring-and-trust.html,19
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/gestin-de-inversiones.html,18
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,17
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/contacte-su-oficina-local.html,15
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/complaint-handling-procedures.html,14
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/career-and-busines,14
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html?cid=S1eTAX1218-001&utm_so,14
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre/e,14
https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements/scotiamcleod.html,13
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/estructuracin-patrimonial-y-fiduciar,13
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,13
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre.h,12
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-declaration-of-trust-,12


#=================================================================
# SWM Site Search
# Report suite: Scotiabank Prod
"# Date: Jun 20, 2021 - Jun 26, 2021"
# Segments: SWM
#=================================================================


##############################################
# Site Search
##############################################
,Internal Searches (e1),Avg Rank of Result Clicked (beta version)
Internal Search (c1),89,
incertidumbre,3,0
sfdr,3,0
chris whiteside,3,0
george lunan foundation,2,1
team,2,1
angela zheng,2,0
angela zhang,2,0
goldberg portofolio,2,0
angela zheng 510-650 west georgia street vancouver,2,0
transfer,1,10
careers,1,5
private banking team members,1,4.5
team members,1,3
power of attorney,1,2
meet the team,1,2
private banking,1,2
"ottawa, ontario",1,1
scotia wealth american core,1,1
scotiatrade,1,1
pools,1,1
estate appointments,1,1
partnership plus fees,1,1
private banking team,1,1
resp,1,1
jantina oosterhuis,1,0
kelsey froh,1,0
jessica rempel,1,0
daniel perrault,1,0
min. investment,1,0
inversión incertidumbre,1,0
ben,1,0
one drive,1,0
branched,1,0
power of att,1,0
beniot,1,0
dólar,1,0
