#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 16, 2021 - May 22, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 16, 2021 - May 22, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,63268,43988,25074,151.6296373315588
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,32592,28342,13882,76.60607798165138
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,4429,3591,2846,152.8841719077568
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,1744,1469,966,296.99029126213594
SB:en:itrade:iTrade How-to Videos,1644,1565,1520,241.4453781512605
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1462,1301,678,90.96462264150944
"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",1254,1079,975,149.6737804878049
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1244,1091,784,73.40806045340051
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,1152,1039,964,235.30344827586208
SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,990,767,704,105.23275862068965
"SB:en:itrade:The Knowledge Navigator, Learn about Investing | Scotia iTRADE®",848,800,767,142.35433070866142


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),63268,44371,25223
https://www.scotiaitrade.com/en/direct-investing-and-online-trading.html,27135,23623,11249
(Low Traffic),5352,4686,3079
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/open-an-account.html,3831,3083,2537
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/forms-library.html,1742,2008,1270
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/powerful-platforms/scotia-itrade,2191,1885,1130
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/trading-fees/commissions-and-fee,1254,1124,1013
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/how-to-videos.html?cid=fb_9ad554,1160,1120,1102
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/why-scotia-itrade/how-to-make-it,1809,1093,986
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/education-resource-lib,1152,1049,969
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/investment-types/registered-acco,1325,978,868


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),556,375,344
Internal Search,508,333,302
SB:en:itrade:404 | Scotia iTRADE®:link:scotiaiTrade-homepage,16,16,16
SB:en:itrade:404 | Scotia iTRADE®:link:ScotiaiTrade-help-centre,10,9,9
SB:en:itrade:404 | Scotia iTRADE®:link:Why Scotia iTRADE,7,7,7
SB:en:itrade:404 | Scotia iTRADE®:link:Open an account,4,4,4
Internal Search Click,4,4,4
SB:en:itrade:404 | Scotia iTRADE®:link:Investment types,3,3,3
SB:en:itrade:404 | Scotia iTRADE®:link:Sign in,3,3,3
SB:en:itrade:404 | Scotia iTRADE®:link:Learn how,1,1,1


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,44371
Other,29896
Mobile Phone,12801
Tablet,1668
Media Player,4
Gaming Console,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,44105,0.4419680308355062
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,26089,0.4040783471961363
phoenix:Login,1791,0
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,1736,0.5599078341013825
SB:en:itrade:iTrade How-to Videos,1551,0.927143778207608
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1135,0.37092511013215856
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,958,0.9091858037578288
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,816,0.30269607843137253
SB:en:itrade:Market Holiday Schedule 2021 | Scotia iTRADE®,743,0.9448183041722745
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,696,0.3117816091954023
"SB:en:itrade:The Knowledge Navigator, Learn about Investing | Scotia iTRADE®",683,0.9341142020497804


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,44371,44371,0.4437132361226928
Natural Search,15360,16196,0.42604166666666665
Referring Domains,14414,17884,0.21735812404606633
Direct,8823,8663,0.653179190751445
Paid Social Networks,2435,2435,0.9498973305954825
Paid Search,955,1000,0.35602094240837695
Session Refresh,815,786,0.39263803680981596
Display,780,774,0.8512820512820513
Other Campaigns,498,654,0.7570281124497992
Social Networks,256,258,0.84765625
email,35,30,0.4857142857142857


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,23777
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,907
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,430
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,411
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",160
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitve pricing | Scotia iTRADE,147
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,20563
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+90 more,1159

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,23777
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: May 16, 2021 - May 22, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2752,1821,1352,251.3524962178518
