#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jan 30, 2022 - Feb 5, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Display,268,262,0.4626865671641791
Social Networks,135,79,0.2962962962962963
Paid Social Networks,9,9,0.3333333333333333


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,20507
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,671
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,668
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,435
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,275
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,247
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,17013
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+80 more,1198

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,20507
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,407
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,225
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,225
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,110
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,104
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,18621
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+88 more,815


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Jan 30, 2022 - Feb 5, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,3062,1969,1505,190.8666017526777
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,704,603,328,66.98571428571428
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,527,473,442,132.74705882352941
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE,201,154,136,299.61290322580646
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,131,104,94,92.20987654320987
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,113,106,102,473.14285714285717
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,92,75,65,225.2982456140351
SB:fr:itrade:Offre d'hiver - Triage,92,72,67,112.26229508196721
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,88,59,54,347.625
SB:fr:itrade:Investissez avec Scotia iTRADE,62,48,46,105.7948717948718
SB:fr:itrade:Types de comptes de placement et de négociation | Scotia iTRADE,55,45,45,56.351351351351354


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),3058,2017,1524
https://www.scotiaitrade.com/fr/accueil.html,694,617,328
(Low Traffic),418,284,250
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver.html,183,169,167
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,113,106,102
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,131,105,94
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver-ce.html,107,88,76
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/liste-de-formulaires.html,92,81,68
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver.html?cid=S1eWINT1121-002,79,76,76
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver-triage.html,92,72,67
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver.html?intcmp=iTrade_XUD04|SOLUI_ANALYTICS_CAMPI,73,72,70


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
