#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Sep 5, 2021 - Sep 11, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Sep 5, 2021 - Sep 11, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,53388,38430,24463,140.6436830290966
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,29896,26066,15157,90.85287751817526
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3249,2649,2171,71.60692840646651
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2311,2171,1936,84.73283395755305
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1872,1360,977,294.6485765124555
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1298,1180,1142,230.392
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1059,993,910,280.24848484848485
SB:en:itrade:Competitive pricing | Scotia iTRADE,1058,960,869,212.21703853955376
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1003,824,775,81.90598290598291
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,711,551,479,207.00709219858157
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,687,615,323,61.05


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),53070,39482,24584
https://www.scotiaitrade.com/en/home.html,28735,25994,14576
(Low Traffic),3153,2929,2800
https://www.scotiaitrade.com/en/home/open-trading-account.html,3233,2680,2171
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1871,1652,1076
https://www.scotiaitrade.com/en/home/learning-centre.html,1167,1109,886
https://www.scotiaitrade.com/en/home/pricing-fees.html,1052,999,879
https://www.scotiaitrade.com/en/home/where-to-start.html,1000,833,778
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,683,659,326
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,711,561,487
https://www.scotiaitrade.com/en/home/contact-us.html,569,543,471


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),31195,22192,11428
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,18862,16168,7357
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1117,937,868
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,832,713,614
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,695,566,260
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,622,520,499
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,668,513,273
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources:page top CTA:Sign in,494,445,316
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,315,276,261
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,285,274,268
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,286,254,245


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,39482
Other,22774
Mobile Phone,15306
Tablet,1398
Media Player,3
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,39011,0.3405449744943734
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,24478,0.27293896560176484
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1949,0.6654694715238584
phoenix:Login,1496,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1241,0.23851732473811443
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1137,0.9076517150395779
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,891,0.9034792368125701
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,582,0.23883161512027493
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,549,0.060109289617486336
BNS Home page en,465,0
SB:en:itrade:Competitive pricing | Scotia iTRADE,427,0.5597189695550351


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,39482,39482,0.3463097107542678
Natural Search,12595,13224,0.20277888050813814
Direct,10536,10390,0.36427486712224755
Referring Domains,8929,11995,0.20584611938626945
Social Networks,5203,5211,0.8370171055160485
Session Refresh,789,764,0.2965779467680608
Other Campaigns,545,563,0.6385321100917432
Paid Social Networks,470,470,0.9234042553191489
Paid Search,269,228,0.07063197026022305
Display,96,74,0.40625
email,49,47,0.2857142857142857


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,21404
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,716
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,497
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,302
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,162
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,122
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,18771
