#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jul 24, 2022 - Jul 30, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jul 24, 2022 - Jul 30, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,37936,32642,26853,96.47113940777224
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17792,16767,12370,52.202835622507756
SB:en:itrade:Scotia itrade mobile application terms and conditions,2977,2203,2121,70.16914749661704
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1569,1344,876,282.4052734375
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1478,1400,1326,52.161152614727854
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1153,1129,1120,71.93916349809886
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,1082,1024,962,172.5979381443299
SB:en:itrade:Competitive pricing | Scotia iTRADE,863,766,673,228.96648044692736
SB:en:itrade:Reasons to join - advantages & features of Scotia iTRADE®,783,773,770,64.46511627906976
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,637,612,555,298.72027972027973
SB:en:itrade:Features of Scotia iTRADE® trading platform Canada,630,615,607,146.38181818181818


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),37744,34159,27563
https://www.scotiaitrade.com/en/home.html,17566,17292,12370
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,2977,2203,2121
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1565,1650,967
https://www.scotiaitrade.com/en/home/open-trading-account.html,1444,1395,1305
https://www.scotiaitrade.com/en/home/where-to-start.html,1153,1135,1124
https://www.scotiaitrade.com/en/home/special-offers-programs.html,1078,1042,959
https://www.scotiaitrade.com/en/home/pricing-fees.html,861,850,708
https://www.scotiaitrade.com/en/home/why-itrade.html,783,774,771
https://www.scotiaitrade.com/en/home/contact-us.html,635,626,559
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms.html,630,618,609


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),21099,16778,11658
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,13756,12235,8169
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,591,509,378
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,442,384,200
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,434,382,380
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,288,260,192
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,228,214,214
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,205,182,107
Internal Search,272,172,157
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,165,162,157
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,164,143,136


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,34159
Other,23507
Mobile Phone,9817
Tablet,831
Media Player,3
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,33064,0.4155274618920881
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,16014,0.2143749219432996
SB:en:itrade:Scotia itrade mobile application terms and conditions,2203,0.663640490240581
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1142,0.3353765323992995
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1013,0.8361303060217177
phoenix:Login,992,0
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,939,0.8594249201277955
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,867,0.25836216839677045
SB:en:itrade:Reasons to join - advantages & features of Scotia iTRADE®,744,0.9717741935483871
SB:en:itrade:Features of Scotia iTRADE® trading platform Canada,585,0.9435897435897436
SB:en:itrade:Scotia iTRADE® iClub - two level membership program | Scotia iTRADE®,571,0.9702276707530648


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,34159,34159,0.4295500453760356
Direct,17523,17393,0.5258802716429835
Natural Search,8465,8941,0.31199054932073245
Referring Domains,6649,7356,0.32832004812753796
Session Refresh,1076,1056,0.47026022304832715
