#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Nov 15, 2020 - Nov 21, 2020"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
https://www.scotiawealthmanagement.com/ca/en/home.html?cid=ps_486f04868554f4dd0eac5d385a372dc87e9c1b,23
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,22
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html?cid=S1eTAX1218-001&utm_so,22
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?cid=ps_da7449c88d58ef4c,20
https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,20
https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,19
https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements/scotiamcleod.html,18
https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,18
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html?cid=ps_319,18
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?cid=ps_9e7e1803a44b632f,18
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html#estate-trust,18
https://www.scotiawealthmanagement.com/ca/en/home.html?cid=ps_285a63386ca139158b2d3f17f4771d7591648b,17
https://www.scotiawealthmanagement.com/ca/en/home.html?cid=ps_a40c85517dee7e4040674a3388a40ac5c5de12,17
https://www.scotiawealthmanagement.com/intl/en/home/wealth-structuring-and-trust.html,16
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?cid=ps_edc3bca75bd62581,15
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/banca-privada.html,14
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/complaint-handling-procedures.html,12
https://www.scotiawealthmanagement.com/ca/en/home.html?cid=ps_fb55f42fab4beb3c0f932c61c85bb7ec8c0bba,12
https://www.scotiawealthmanagement.com/ca/en/home.html?cid=ps_50d23c2c0486f27080a9178d348c06dcc810f2,12
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?cid=ps_2aee31e27c1b3be8,12
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,12
https://www.scotiawealthmanagement.com/ca/en/home.html?cid=ps_8e13e99db5ab1f319fb4e11cd00fbf0bb52d8f,11


#=================================================================
# SWM Site Search
# Report suite: Scotiabank Prod
"# Date: Nov 15, 2020 - Nov 21, 2020"
# Segments: SWM
#=================================================================


##############################################
# Site Search
##############################################
,Internal Searches (e1),Avg Rank of Result Clicked (beta version)
Internal Search (c1),0,


