#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Oct 17, 2021 - Oct 23, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Display,1144,1091,0.7062937062937062
Session Refresh,1014,988,0.25443786982248523
Paid Search,260,226,0.06538461538461539
email,82,80,0.13414634146341464
Social Networks,34,33,0.4117647058823529


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,25408
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1654
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,550
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,445
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,219
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,174
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,21501
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+78 more,865

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,25408
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,378
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,290
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,124
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,59
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,59
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,23873
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+77 more,625


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Oct 17, 2021 - Oct 23, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2565,1802,1468,178.4824797843666
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,612,536,310,64.33484162895928
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements | Scotia iTRADE,399,383,372,70.04545454545455
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,337,278,267,237.75
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,136,116,101,63.333333333333336
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,95,68,57,466.98214285714283
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,51,50,44,270
SB:fr:itrade:Investissez avec Scotia iTRADE,49,30,24,168.2173913043478
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,46,41,40,197.16
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE,46,34,31,160.10526315789474
SB:fr:itrade:Acheter des titres en bourse – Ouvrez un compte aujourd’hui | Scotia iTRADE,41,38,36,163.64705882352942


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),2555,1851,1489
https://www.scotiaitrade.com/fr/accueil.html,588,541,299
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/navigateur-de-connaissances.html?cid=f,393,377,366
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage.html?cid=fb_bns_BpeK7DptTMpicBOSxUFoQp,250,211,205
(Low Traffic),191,129,121
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,134,117,99
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/liste-de-formulaires.html,92,73,60
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,51,50,44
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.croissance-et-investisseme,57,47,46
https://www.scotiaitrade.com/fr/accueil/frais-et-tarification.html,46,47,46
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage.html?cid=fb_bns_FTf0dpNgZyFoP5CMumMkL3,47,44,40


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),974,601,367
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,541,433,222
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:start-applicatio,51,43,43
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page middle CTA:,35,30,27
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page top CTA:Dem,18,13,12
Internal Search,15,10,9
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,16,9,8
SB:fr:itrade:Télécharger l’application mobile Scotia iTRADE dès maintenant:page top CTA:Demarre,9,8,7
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:nav-btn:Comptes,11,7,7
SB:fr:itrade:Ouvrez un compte non enregistré aujourd’hui | Scotia iTRADE:page top CTA:Lancer la d,10,7,6
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits:page middle CTA:Vidéos de formation,8,7,7
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements | Scotia iTRADE:pa,7,7,7
SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE:page middle CTA:Ouv,6,6,5
SB:fr:itrade:Acheter des titres en bourse – Ouvrez un compte aujourd’hui | Scotia iTRADE:nav-btn,6,5,5
SB:fr:itrade:Investir dans les FNB à faible coût – Ouvrez un compte dès aujourd’hui | Scotia,6,5,5
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:nav-btn:Com,5,5,5
SB:fr:itrade:Ouvrez un compte enregistré aujourd’hui | Scotia iTRADE:page top CTA:Lancer la deman,7,4,4
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits:page top CTA:Ouvrez un compte,6,4,4
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits:page top CTA:Demarrez,5,4,4
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:page top CTA:Ouvrez un,5,4,4
D=v65,5,4,4
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:page top CT,5,4,4
