Week,HTML,Unique Visitors
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,133
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,115
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,216
2020-04-12,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,114
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,91
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,80
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,79
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,78
2020-04-12,https://www.scotiawealthmanagement.com/intl/en/home.html,67
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,56
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,38
2020-04-12,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,36
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,35
2020-04-12,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,27
2020-04-12,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,24
2020-04-12,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,23
2020-04-12,https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,16
2020-04-12,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,16
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home.html,1993
2020-04-19,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,1372
2020-04-19,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,455
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,622
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,251
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,244
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,264
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client.html,240
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre.html,201
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,199
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,210
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,194
2020-04-19,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,164
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,232
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,157
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,128
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,104
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,97
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,91
2020-04-19,https://www.scotiawealthmanagement.com/intl/en/home.html,84
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,75
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,58
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,35
2020-04-19,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,29
2020-04-19,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,29
2020-04-19,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,27
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,23
2020-04-19,https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,21
2020-04-19,https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,20
2020-04-19,https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements/scotiamcleod.html,20
2020-04-19,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,20
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home.html,1803
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,617
2020-04-26,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,378
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,248
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,218
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client.html,205
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,213
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,175
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre.html,172
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,200
2020-04-26,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,165
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,156
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,264
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,139
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,132
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,109
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,106
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,94
2020-04-26,https://www.scotiawealthmanagement.com/intl/en/home.html,87
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,78
2020-04-26,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,49
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,35
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,33
2020-04-26,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,27
2020-04-26,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,26
2020-04-26,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,23
2020-04-26,https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,22
2020-04-26,https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,19
2020-04-26,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,19
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home.html,1473
2020-05-03,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,343
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,400
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,212
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,206
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,145
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre.html,145
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,152
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,135
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,143
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,129
2020-05-03,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,126
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,118
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client.html,117
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,151
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,80
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,78
2020-05-03,https://www.scotiawealthmanagement.com/intl/en/home.html,69
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,64
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,60
2020-05-03,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,46
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,32
