Week,Business Unit,Channel,Spend
2021-01-31,iTrade,SEM2,10390.57
2021-02-07,iTrade,SEM2,9190.57
2021-02-14,iTrade,SEM2,7089.07
2021-02-21,iTrade,SEM2,7889.82
2021-02-28,iTrade,SEM2,8606.01
2021-03-07,iTrade,SEM2,9522.66
2021-03-14,iTrade,SEM2,9329.66
2021-03-21,iTrade,SEM2,9345.82
2021-03-28,iTrade,SEM2,10623.48
2021-04-04,iTrade,SEM2,11826.64
2021-04-11,iTrade,SEM2,11607.45
2021-04-18,iTrade,SEM2,11562.82
2021-04-25,iTrade,SEM2,11560.44
2021-05-02,iTrade,SEM2,10468.88
2021-05-09,iTrade,SEM2,9850.09
2021-05-16,iTrade,SEM2,9878.01
2021-05-23,iTrade,SEM2,10117.39
2021-05-30,iTrade,SEM2,11157.82
2021-06-06,iTrade,SEM2,10034.61
2021-06-13,iTrade,SEM2,10206.77
2021-06-20,iTrade,SEM2,11285.95
2021-06-27,iTrade,SEM2,9352.22
2021-07-04,iTrade,SEM2,10328.04
2021-07-11,iTrade,SEM2,10464.58
2021-07-18,iTrade,SEM2,10198.49
2021-07-25,iTrade,SEM2,10757.76
2021-08-01,iTrade,SEM2,10721.61
2021-08-08,iTrade,SEM2,10323.2
2021-08-15,iTrade,SEM2,11618.36
2021-08-22,iTrade,SEM2,11703.79
2021-08-29,iTrade,SEM2,9192.61
2021-09-05,iTrade,SEM2,11870.39
2021-09-12,iTrade,SEM2,12289.85
2021-09-19,iTrade,SEM2,12438.7
2021-09-26,iTrade,SEM2,13467.16
2021-10-03,iTrade,SEM2,16626.26
2021-10-10,iTrade,SEM2,16499.39
2021-10-17,iTrade,SEM2,10743.65
2021-10-24,iTrade,SEM2,7534.75
2021-10-31,iTrade,SEM2,8948.59
2021-11-07,iTrade,SEM2,12877.34
2021-11-14,iTrade,SEM2,10828.92
2021-11-21,iTrade,SEM2,7503.95
2021-11-28,iTrade,SEM2,4775.7
2021-12-05,iTrade,SEM2,5591.11
2021-12-12,iTrade,SEM2,7546.41
2021-12-19,iTrade,SEM2,15571.79
2021-12-26,iTrade,SEM2,9643.1
2022-01-02,iTrade,SEM2,19693.42
2022-01-09,iTrade,SEM2,15934.57
2022-01-16,iTrade,SEM2,9885.39
2022-01-23,iTrade,SEM2,11184.64
2022-01-30,iTrade,SEM2,12807.7
2022-02-06,iTrade,SEM2,14077.48
2022-02-13,iTrade,SEM2,15236.12
2022-02-20,iTrade,SEM2,15767.54
