Week,Business Unit,Digital,DigitalOOH,OOH,Print,Radio,SEM,SEM2,Social,TV
1/24/2021,Wealth,0,0,0,0,0,884.18,0,0,0
1/24/2021,iTrade,4802,0,0,0,0,5467.76,5467.76,7997,2155
1/31/2021,Wealth,0,0,0,0,0,7962.5,0,967.75,0
1/31/2021,iTrade,4285,0,0,0,0,10390.57,10390.57,8090,2605
2/7/2021,Wealth,0,0,0,0,0,9381.01,0,899.36,0
2/7/2021,iTrade,2906,0,0,0,0,9190.57,9190.57,7935,2167
2/14/2021,Wealth,9923,0,0,10400,0,10321.13,0,1090,0
2/14/2021,iTrade,2309,0,0,0,0,7089.07,7089.07,8393,2080
2/21/2021,Wealth,9923,0,0,10400,0,9324.82,0,0,0
2/21/2021,iTrade,3418,0,0,0,0,7889.82,7889.82,4391,2161
2/28/2021,Wealth,9923,0,0,10400,0,7641.32,0,1070.51,0
2/28/2021,iTrade,0,0,0,0,0,8606.01,8606.01,0,2161
3/7/2021,Wealth,9923,0,0,10400,0,9814.91,0,1041.23,0
3/7/2021,iTrade,4741,0,0,0,0,9522.66,9522.66,14586,2161
3/14/2021,Wealth,9923,0,0,10400,0,7541.89,0,1062.65,0
3/14/2021,iTrade,2173,0,0,0,0,9329.66,9329.66,5957,2378
3/21/2021,Wealth,0,0,0,0,0,5945.06,0,147.31,0
3/21/2021,iTrade,2839,0,0,0,0,9345.82,9345.82,10181,2582
3/28/2021,Wealth,0,0,0,0,0,6123.73,0,0,0
3/28/2021,iTrade,2230,0,0,0,0,10623.48,10623.48,8205,2520
4/4/2021,Wealth,0,0,0,0,0,6882.33,0,0,0
4/4/2021,iTrade,1798,0,0,0,0,11826.64,11826.64,8287,2535
4/11/2021,Wealth,0,0,0,0,0,8137.94,0,0,0
4/11/2021,iTrade,3644,0,0,0,0,11607.45,11607.45,5332,2637
4/18/2021,Wealth,0,0,0,0,0,8646.15,0,0,0
4/18/2021,iTrade,8164,0,0,0,0,11562.82,11562.82,6115,0
4/25/2021,Wealth,0,0,0,0,0,9267.43,0,0,0
4/25/2021,iTrade,25089,0,0,0,0,11560.44,11560.44,8276,2520
5/2/2021,Wealth,0,0,0,0,0,5320.2,0,513.51,0
5/2/2021,iTrade,23345,0,0,0,0,10468.88,10468.88,8726,2859
5/9/2021,Wealth,0,0,0,0,0,2317.69,0,1192.76,0
5/9/2021,iTrade,25970,0,0,0,0,9850.09,9850.09,6991,2582
5/16/2021,Wealth,0,0,0,0,0,8765.21,0,1359.97,0
5/16/2021,iTrade,29549,0,0,0,0,9878.01,9878.01,2453,2576
5/23/2021,Wealth,0,0,0,0,0,7747.3,0,1586.05,0
5/23/2021,iTrade,7719,0,0,0,0,10117.39,10117.39,5031,2518
5/30/2021,Wealth,0,0,0,0,0,5408.57,0,859.79,0
5/30/2021,iTrade,6866,0,0,0,0,11157.82,11157.82,5142,2582
6/6/2021,Wealth,0,0,0,0,0,4866.14,0,76.58,0
6/6/2021,iTrade,6605,0,0,0,0,10034.61,10034.61,6051,2582
6/13/2021,Wealth,0,0,0,0,0,5104.19,0,0,0
6/13/2021,iTrade,7335,0,0,0,0,10206.77,10206.77,7894,2582
6/20/2021,Wealth,0,0,0,0,0,5062.12,0,0,0
6/20/2021,iTrade,6813,0,0,0,0,11285.95,11285.95,8493,2582
6/27/2021,Wealth,0,0,0,0,0,1586.16,0,0,0
6/27/2021,iTrade,2297,0,0,0,0,9352.22,9352.22,8616,2512
7/4/2021,Wealth,0,0,0,0,0,5714.78,0,0,0
7/4/2021,iTrade,10523,0,0,0,0,10328.04,10328.04,8562,2582
7/11/2021,Wealth,0,0,0,0,0,4747.34,0,0,0
7/11/2021,iTrade,9073,0,0,0,0,10464.58,10464.58,9182,2506
7/18/2021,Wealth,0,0,0,0,0,5031.88,0,0,0
7/18/2021,iTrade,8356,0,0,0,0,10198.49,10198.49,9468,2568
7/25/2021,Wealth,0,0,0,0,0,2944.82,0,0,0
7/25/2021,iTrade,0,0,0,0,0,10757.76,10757.76,0,2618
8/1/2021,Wealth,0,0,0,0,0,4778.66,0,0,0
8/1/2021,iTrade,12405,0,0,0,0,10721.61,10721.61,25361,2716
8/8/2021,Wealth,0,0,0,0,0,5171.48,0,0,0
8/8/2021,iTrade,3002,0,0,0,0,10323.2,10323.2,16542,2582
8/15/2021,Wealth,0,0,0,0,0,5210.26,0,0,0
8/15/2021,iTrade,9465,0,0,0,0,11618.36,11618.36,16312,2579
8/22/2021,Wealth,0,0,0,0,0,13064.16,0,0,0
8/22/2021,iTrade,75850,0,0,0,0,11703.79,11703.79,16151,2540
8/29/2021,Wealth,0,0,0,0,0,7339.14,0,0,0
8/29/2021,iTrade,57814,0,0,0,0,9192.61,9192.61,21224,2644
9/5/2021,Wealth,0,0,0,0,0,9744.24,0,0,0
9/5/2021,iTrade,48517,0,0,0,0,11870.39,11870.39,15047,2586
9/12/2021,Wealth,0,0,0,0,0,8902.82,0,0,0
9/12/2021,iTrade,37752,0,0,0,0,12289.85,12289.85,14915,2818
9/19/2021,Wealth,0,0,0,0,0,5424.43,0,0,0
9/19/2021,iTrade,37317.5,0,0,0,0,12438.7,12438.7,18760,2717
9/26/2021,Wealth,0,0,0,0,0,911.1,0,0,0
9/26/2021,iTrade,36388.5,0,0,0,0,13467.16,13467.16,19240,2717
10/3/2021,Wealth,0,0,0,0,0,5878.89,0,0,0
10/3/2021,iTrade,39638,0,0,0,0,16626.26,16626.26,19037,2719
10/10/2021,Wealth,0,0,0,0,0,14249.16,0,0,0
10/10/2021,iTrade,36452,0,0,0,0,16499.39,16499.39,15006,2715
10/17/2021,Wealth,0,0,0,0,0,7934.34,0,807.18,0
10/17/2021,iTrade,41757,0,0,0,0,10743.65,10743.65,17201,2719
10/24/2021,Wealth,0,0,0,0,0,199,0,904.31,0
10/24/2021,iTrade,31436,0,0,0,0,7534.75,7534.75,12764,2611
10/31/2021,Wealth,0,0,0,0,0,1859.36,0,911.62,0
10/31/2021,iTrade,19403.14,0,0,0,0,8948.59,8948.59,10863,0
11/7/2021,Wealth,0,0,0,0,0,4499.28,0,1251.27,0
11/7/2021,iTrade,4637.142222,0,0,0,0,12877.34,12877.34,10920,2841
11/14/2021,Wealth,0,0,0,0,0,5114.92,0,661.91,0
11/14/2021,iTrade,4637.142222,0,0,0,0,10828.92,10828.92,11123,2920
11/21/2021,Wealth,0,0,0,0,0,4243.69,0,263.43,0
11/21/2021,iTrade,4637.142222,0,0,0,0,7503.95,7503.95,13662,2458
11/28/2021,Wealth,0,0,0,0,0,962.43,0,265.08,0
11/28/2021,iTrade,4637.142222,0,0,0,0,4775.7,4775.7,6441,2368
12/5/2021,Wealth,0,0,0,0,0,2444.43,0,204.91,0
12/5/2021,iTrade,4637.142222,0,0,0,0,5591.11,5591.11,19725,2306
12/12/2021,Wealth,0,0,0,0,0,4299.02,0,0,0
12/12/2021,iTrade,15253.745,0,0,0,0,7546.41,7546.41,5613.5,2132
12/19/2021,Wealth,0,0,0,0,0,4508.84,0,0,0
12/19/2021,iTrade,15253.745,0,0,0,0,15571.79,15571.79,5613.5,2177
12/26/2021,Wealth,0,0,0,0,0,3578.23,0,0,0
12/26/2021,iTrade,15253.745,0,0,0,0,9643.1,9643.1,5613.5,2115
1/2/2022,Wealth,0,0,0,0,0,5125.15,0,0,0
1/2/2022,iTrade,15253.745,0,0,0,0,19693.42,19693.42,5613.5,2070
1/9/2022,Wealth,0,0,0,0,0,4289.14,0,0,0
1/9/2022,iTrade,29442.04,0,0,0,18333,15934.57,15934.57,11289,2239
1/16/2022,Wealth,0,0,0,0,0,11367.7,0,180.97,0
1/16/2022,iTrade,41451.52,0,0,0,18333,9885.39,9885.39,11151,2284
1/23/2022,Wealth,0,0,17727,0,0,8705.43,0,6354.11,0
1/23/2022,iTrade,49641.57,0,0,0,18333,11184.64,11184.64,11140,2084
1/30/2022,Wealth,0,6504.142857,17727,58824,0,9006.83,0,6268.47,0
1/30/2022,iTrade,7624.98,0,0,0,18333,12807.7,12807.7,11178,2222
2/6/2022,Wealth,0,6504.142857,17727,0,0,10726.09,0,5897.2,0
2/6/2022,iTrade,53660.88,0,0,0,18333,14077.48,14077.48,12194,2226
2/13/2022,Wealth,18366.588,6504.142857,17727,18366.588,0,9316.83,0,5931.57,0
2/13/2022,iTrade,30943.15,0,0,0,18333,15236.12,15236.12,9433,2177
2/20/2022,Wealth,18366.588,6504.142857,17727,18366.588,0,1789.12,0,5841.03,0
2/20/2022,iTrade,36185.91,0,0,0,0,15767.54,15767.54,10360,2177
2/27/2022,Wealth,18366.588,6504.142857,17727,18366.588,0,846.51,0,5828.36,0
2/27/2022,iTrade,22709.62,0,0,0,0,13929.15,13929.15,10434,2177
3/6/2022,Wealth,18366.588,6504.142857,0,18366.588,0,2633.8,0,6004.74,0
3/6/2022,iTrade,20963.72,0,0,0,0,11823.86,11823.86,7545,2100
3/13/2022,Wealth,18366.588,6504.142857,0,18366.588,0,15230.66,0,1644.05,0
3/13/2022,iTrade,49976.66,0,0,0,0,14806.09,14806.09,7027,2253
3/20/2022,Wealth,0,0,0,0,0,10636.23,0,0,0
3/20/2022,iTrade,19286.82,0,0,0,0,13342.32,13342.32,7265,2177
3/27/2022,Wealth,0,0,0,0,0,3144.12,0,0,0
3/27/2022,iTrade,18319,0,0,0,0,15051.25,15051.25,3431.86,2246
4/3/2022,Wealth,0,0,0,0,0,11803.8502,0,0,0
4/3/2022,iTrade,2831.83,0,0,0,0,15435.69,15435.69,4098.14,2322
4/10/2022,Wealth,0,0,0,0,0,8298.21,0,0,0
4/10/2022,iTrade,2790.48,0,0,0,0,16362.57,16362.57,3675,2177
4/17/2022,Wealth,0,0,0,0,0,4395.69,0,0,0
4/17/2022,iTrade,3628.28,0,0,0,0,14798.77,14798.77,8467,2177
4/24/2022,Wealth,0,0,0,0,0,3500.039761,0,0,0
4/24/2022,iTrade,11222.39,0,0,0,0,2176.88,2176.88,5456,2177
5/1/2022,iTrade,0,0,0,0,8912.5,0,0,0,2177
5/8/2022,iTrade,0,0,0,0,8912.5,0,0,0,2177
5/15/2022,iTrade,0,0,0,0,8912.5,0,0,0,2177
5/22/2022,iTrade,0,0,0,0,8912.5,0,0,0,2180
5/29/2022,iTrade,0,0,0,0,8912.5,0,0,0,2180
6/5/2022,iTrade,0,0,0,0,8912.5,0,0,0,2180
6/12/2022,iTrade,0,0,0,0,8912.5,0,0,0,2180
6/19/2022,iTrade,0,0,0,0,8912.5,0,0,0,2180
6/26/2022,iTrade,0,0,0,0,8912.5,0,0,0,2180
7/3/2022,iTrade,0,0,0,0,8912.5,0,0,0,2180
7/10/2022,iTrade,0,0,0,0,8625,0,0,0,2180
7/17/2022,iTrade,0,0,0,0,8625,0,0,0,2180
7/24/2022,iTrade,0,0,0,0,8625,0,0,0,2180
7/31/2022,iTrade,0,0,0,0,0,0,0,0,2180
8/7/2022,iTrade,0,0,0,0,0,0,0,0,2180
8/14/2022,iTrade,0,0,0,0,0,0,0,0,2180
8/21/2022,iTrade,0,0,0,0,0,0,0,0,2180
8/28/2022,iTrade,0,0,0,0,0,0,0,0,2180
9/4/2022,iTrade,0,0,0,0,0,0,0,0,2642
9/11/2022,iTrade,0,0,0,0,0,0,0,0,2505
9/18/2022,iTrade,0,0,0,0,0,0,0,0,2505
9/25/2022,iTrade,0,0,0,0,0,0,0,0,2505
10/2/2022,iTrade,0,0,0,0,0,0,0,0,2505
10/9/2022,iTrade,0,0,0,0,0,0,0,0,2505
10/16/2022,iTrade,0,0,0,0,0,0,0,0,2505
10/23/2022,iTrade,0,0,0,0,0,0,0,0,2505
